id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28053342,"Beautiful Central Room, 5' from metro",211921182,Ioannis,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98621,23.71584,Private room,17,1,7,2018-10-05,0.94,1,0
28055541,Harmony Apartment 7 min from Metro.,211752896,Ted,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98936,23.72744,Entire home/apt,30,1,14,2019-04-07,1.92,2,121
28060986,"Cosy house in Galatsi ,Athens",211980843,Δήμητρα,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01865,23.74576,Entire home/apt,53,4,1,2018-09-17,0.14,1,269
28064469,Apartment in Athens!,211999331,Βασιλική,,ΠΑΤΗΣΙΑ,38.01483,23.73024,Entire home/apt,28,3,10,2019-03-14,1.41,1,334
28065526,♦ Welcome to Kelly's place ♦ 2BD ♦ Walk everywhere,212008972,Panos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96718,23.72608,Entire home/apt,55,1,17,2019-04-06,2.41,1,98
28065986,"Fully renovated, modern beauty in Central Athens!",212011117,Georgios,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99118,23.74002,Entire home/apt,70,2,10,2019-01-28,1.36,1,347
28069006,Ι LOVE ACROPOLIS,159468712,Jason,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96765,23.72553,Entire home/apt,79,1,0,,,1,180
28070475,Entire building with 4 apts and great views!,1418201,Dean,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97961,23.72856,Entire home/apt,263,2,2,2019-03-17,0.71,63,293
28071139,Athens Day and Night,212045736,Ascentum,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97801,23.72401,Entire home/apt,170,1,3,2019-02-24,0.50,2,316
28071787,"Cozy Flat in hip Koukaki, just off Filopappou Hill",1653525,Nikos,,ΑΚΡΟΠΟΛΗ,37.96469,23.71798,Entire home/apt,35,2,15,2019-03-17,2.03,13,338
